HORA	TEMPERATURA INT.	TEMPERATURA EXT.	CO2	HUMEDAD INT.	VEL. VIENTO	LUMINOSIDAD EXT.	LLUVIA
12:11	25.7	23.7	507.84	56	0	69181.44	0
12:16	25.7	25.7	497.92	56	0	69181.44	0
12:21	25.7	25.7	497.92	56	1	69181.44	0
12:26	25.7	24.7	496.96	56	2	69181.44	0
12:31	25.7	24.7	491.84	56	3	69181.44	0
12:36	25.7	23.7	500.80	56	3	69181.44	0
12:41	25.7	23.7	505.92	56	0	69181.44	0
12:46	25.7	24.7	501.76	56	0	69181.44	0
12:51	25.7	24.7	504.96	56	2	69181.44	0
12:56	25.7	25.7	498.88	56	0	69181.44	0
13:01	25.7	25.7	496.96	56	2	69181.44	0
13:06	25.7	25.7	499.84	56	0	69181.44	0
13:11	25.7	25.7	496.00	56	0	69181.44	0
13:16	25.7	25.7	493.76	56	2	69181.44	0
13:21	25.7	25.7	490.88	56	1	69181.44	0
13:26	25.7	25.7	488.00	56	0	69181.44	0
13:39	25.7	24.7	496.96	56	2	90357.76	0
13:40	25.7	24.7	491.84	56	0	90357.76	0
13:41	25.7	26.7	488.96	56	4	90357.76	0
13:42	25.7	24.7	488.96	56	2	90357.76	0
13:42	25.7	25.7	488.96	56	2	90357.76	0
13:43	25.7	26.7	488.00	56	0	90357.76	0
13:48	25.7	24.7	483.84	56	0	54149.12	0
13:49	25.7	25.7	483.84	56	1	54149.12	0
13:49	25.7	26.7	483.84	56	0	54149.12	0
13:50	25.7	28.7	483.84	56	3	94617.60	0
13:50	25.7	29.7	483.84	56	4	94617.60	0
13:51	25.7	30.7	488.00	56	2	65249.28	0
13:51	25.7	31.7	488.00	56	3	87080.96	0
13:52	25.7	31.7	488.00	56	5	87080.96	0
13:52	25.7	32.7	488.00	56	5	87080.96	0
13:53	25.7	33.7	484.80	56	3	87080.96	0
13:53	25.7	34.7	484.80	56	3	87080.96	0
13:54	25.7	35.7	480.96	56	3	87080.96	0
13:54	25.7	35.7	480.96	56	1	87080.96	0
13:55	25.7	35.7	485.76	56	3	87080.96	0
